Agent_ID,Kick_Time,Bearing_To_Focal,vx,vy
3,67.2,0.0,-0.1719,-0.1257
2,67.2,2.213111197,-0.1621,-0.1281
1,67.2,2.692078379,-0.1366,-0.0958
5,67.2,2.692078379,-0.2216,-0.0327
4,67.2,4.388240349,-0.149,-0.1284
3,67.92,0.0,-0.0481,-0.0175
2,67.92,0.0,-0.038,-0.031
1,67.92,1.257741205,0.0199,0.0297
5,67.92,1.595352793,-0.0032,-0.011
4,67.92,5.011899489,-0.0162,-0.0425
3,68.8,0.0,-0.0226,-0.0301
1,68.8,0.582282933,0.0279,-0.0513
5,68.8,1.101106495,-0.0018,-0.019
2,68.8,5.265471287,0.0208,-0.1004
4,68.8,5.432968363,0.0539,-0.0767
3,69.32,0.0,0.0099,-0.0384
1,69.32,0.826036515,0.0125,-0.0045
5,69.32,1.406574433,0.0014,-0.008
2,69.32,5.478013281,0.0235,-0.0274
4,69.32,5.597455796,0.0285,-0.0229
3,69.8,0.0,0.0004,-0.0166
1,69.8,0.919504433,-0.0004,-0.0005
5,69.8,1.391722684,0.0031,-0.0076
2,69.8,5.594360789,0.0136,-0.0151
4,69.8,5.689129724,0.0151,-0.0102
3,70.2,0.0,0.0315,-0.0389
1,70.2,1.241013817,0.0027,-0.0028
5,70.2,1.704976333,0.002,-0.0053
2,70.2,5.734459289,0.03,-0.0231
4,70.2,5.813468512,0.0141,-0.0084
3,70.76,0.0,0.0465,-0.0698
1,70.76,1.529708945,0.0083,-0.0166
5,70.76,1.659511637,0.0518,-0.0711
2,70.76,5.91737975,0.0415,-0.0522
4,70.76,6.128101326,0.0397,-0.0295
3,71.36,0.0,0.0412,-0.0436
4,71.36,0.078462666,0.0584,-0.0176
5,71.36,1.505087392,0.0572,-0.0622
1,71.36,1.613551005,0.0247,-0.0252
2,71.36,6.022122904,0.0722,-0.0445
3,72.08,0.0,0.1605,-0.0037
2,72.08,0.104876939,0.138,0.0292
4,72.08,0.299204506,0.1081,0.0082
5,72.08,1.276147569,0.1788,-0.016
1,72.08,2.320140469,0.0918,-0.1261
3,73.0,0.0,0.129,0.1925
5,73.0,1.627135774,0.102,0.1582
1,73.0,3.193326386,0.1447,0.106
4,73.0,4.594961891,0.0507,0.0981
2,73.0,5.23975659,0.0773,0.1497
3,73.56,0.0,-0.0483,0.1019
5,73.56,1.094328907,-0.0281,0.0899
1,73.56,3.09348166,-0.0405,0.1077
4,73.56,5.099370224,-0.0029,0.0845
2,73.56,5.178717548,-0.0538,0.1073
3,74.96,0.0,-0.157,0.0998
2,74.96,0.078198424,-0.1184,0.1338
1,74.96,1.786154026,-0.1072,0.1164
4,74.96,5.919118808,-0.0988,0.1539
5,74.96,6.175495436,-0.1487,0.0629
3,76.96,0.0,-0.1175,-0.0714
2,76.96,0.572569223,-0.1137,-0.0386
1,76.96,3.590110743,-0.1426,-0.1047
5,76.96,4.321726849,-0.181,-0.1599
4,76.96,5.672951792,-0.1716,-0.0638
3,78.32,0.0,-0.0204,0.0031
1,78.32,4.296437866,-0.029,-0.0686
5,78.32,4.380823084,-0.0258,-0.0305
4,78.32,4.482484552,-0.0745,-0.0247
2,78.32,6.086362157,-0.0442,-0.0406
3,79.44,0.0,-0.0105,0.0147
1,79.44,4.472765018,-0.0027,-0.0227
5,79.44,4.622817611,0.0139,-0.0675
4,79.44,4.644393605,-0.0087,-0.0963
2,79.44,4.831574491,-0.0344,-0.0596
3,79.92,0.0,-0.018,-0.0635
5,79.92,4.64295898,-0.0123,-0.0419
1,79.92,4.740133056,0.015,-0.0448
4,79.92,4.862019263,0.0163,-0.048
2,79.92,5.325532485,-0.0004,-0.0213
3,80.68,0.0,-0.0243,-0.158
2,80.68,0.311198494,-0.0031,-0.1036
5,80.68,4.926981862,0.0022,-0.0349
4,80.68,5.395290445,-0.0001,-0.064
1,80.68,5.847642746,0.0334,-0.0817
3,81.16,0.0,0.0839,-0.0904
1,81.16,1.02169301,0.0367,-0.0403
2,81.16,1.669290812,0.0304,-0.0554
5,81.16,2.913611928,0.0147,-0.0151
4,81.16,5.089853542,0.0458,-0.0552
3,81.88,0.0,0.0977,-0.0425
1,81.88,2.09193447,0.0626,-0.0266
2,81.88,2.41424884,0.0408,-0.038
5,81.88,2.928172326,0.0301,-0.0287
4,81.88,3.629368309,0.0625,-0.0337
3,83.08,0.0,0.1918,0.0872
2,83.08,3.489672163,0.0911,-0.0269
1,83.08,3.5894687,0.1496,0.0187
