Agent_ID;Kick_Time;Velocity_Agent;Velocity_Focal_Agent3;Velocity_Difference
5;101.52;0.284376755;0.238356642;0.046020112999999974
1;101.52;0.157003738;0.238356642;0.081352904
2;101.88;0.188614998;0.196009574;0.007394575999999986
1;101.88;0.171146506;0.196009574;0.024863067999999988
4;101.88;0.231780714;0.196009574;0.03577114000000001
5;101.88;0.262044726;0.196009574;0.06603515200000001
4;102.24;0.247469446;0.258788876;0.011319429999999991
5;102.24;0.234826735;0.258788876;0.023962140999999992
2;102.24;0.202156774;0.258788876;0.05663210199999999
1;102.24;0.195095141;0.258788876;0.063693735
5;102.72;0.207601736;0.22000799;0.012406253999999978
2;102.72;0.204314572;0.22000799;0.015693417999999987
4;102.72;0.193494231;0.22000799;0.026513758999999998
1;102.72;0.182126354;0.22000799;0.037881635999999996
5;103.8;0.154744385;0.142381668;0.012362717000000023
4;103.8;0.15679013;0.142381668;0.01440846200000001
1;103.8;0.173375272;0.142381668;0.030993604000000008
2;103.8;0.177425046;0.142381668;0.035043378000000014
5;104.4;0.049369919;0.07304869;0.023678771
2;104.4;0.103010922;0.07304869;0.029962232000000005
1;104.4;0.128264592;0.07304869;0.05521590200000001
4;104.4;0.15076702;0.07304869;0.07771833
2;105.32;0.059823306;0.067619704;0.007796398000000003
1;105.32;0.076046651;0.067619704;0.008426947000000004
4;105.32;0.043353081;0.067619704;0.024266623
5;105.32;0.02613492;0.067619704;0.041484784000000004
2;106.36;0.049451971;0.049451971;0.0
4;106.36;0.04133609;0.049451971;0.008115880999999998
1;106.36;0.032175353;0.049451971;0.017276618
5;106.36;0.026083226;0.049451971;0.023368744999999996
5;106.72;0.056863086;0.04007131;0.016791776
4;106.72;0.016163707;0.04007131;0.023907603
1;106.72;0.064445043;0.04007131;0.024373732999999995
2;106.72;0.117275199;0.04007131;0.077203889
2;107.12;0.093270105;0.082638142;0.010631963000000008
5;107.12;0.058363088;0.082638142;0.024275053999999997
4;107.12;0.12562046;0.082638142;0.04298231799999999
1;107.12;0.129754576;0.082638142;0.04711643400000001
1;107.64;0.106133115;0.104480258;0.0016528569999999937
5;107.64;0.088282637;0.104480258;0.01619762100000001
2;107.64;0.142920329;0.104480258;0.038440071000000006
4;107.64;0.163135195;0.104480258;0.058654937000000004
1;108.88;0.108366574;0.110952796;0.002586222000000013
5;108.88;0.120151142;0.110952796;0.009198345999999996
2;108.88;0.094564628;0.110952796;0.01638816800000001
4;108.88;0.093873081;0.110952796;0.01707971500000001
1;110.08;0.093500334;0.113331771;0.019831436999999993
4;110.08;0.08317606;0.113331771;0.030155711
5;110.08;0.153012027;0.113331771;0.039680256
2;110.08;0.066173436;0.113331771;0.047158334999999996
1;110.6;0.144160496;0.112981383;0.031179112999999994
4;110.6;0.168084624;0.112981383;0.05510324099999998
5;110.6;0.032186701;0.112981383;0.080794682
2;110.6;0.215893972;0.112981383;0.10291258899999998
5;111.24;0.162246948;0.158141751;0.004105197000000005
1;111.24;0.150677587;0.158141751;0.007464163999999995
4;111.24;0.113564839;0.158141751;0.044576911999999996
2;111.24;0.072054972;0.158141751;0.086086779
1;111.6;0.107945531;0.10567391;0.0022716210000000014
5;111.6;0.13573673;0.10567391;0.030062820000000004
4;111.6;0.05781249;0.10567391;0.047861419999999995
2;111.6;0.23903613;0.10567391;0.13336222000000003
1;112.44;0.116159307;0.12280274;0.00664343299999999
2;112.44;0.102006305;0.12280274;0.020796434999999988
5;112.44;0.070864939;0.12280274;0.05193780099999999
4;112.44;0.044385608;0.12280274;0.078417132
1;113.04;0.096771925;0.138170989;0.041399064
2;113.04;0.085194223;0.138170989;0.052976765999999995
4;113.04;0.201032059;0.138170989;0.06286107000000002
5;113.04;0.063651176;0.138170989;0.07451981299999999
1;113.96;0.184538362;0.086364903;0.098173459
2;113.96;0.212274705;0.086364903;0.12590980200000002
4;113.96;0.229757824;0.086364903;0.143392921
5;113.96;0.239833773;0.086364903;0.15346886999999998
