Agent_ID,Kick_Time,Distance_To_Focal,vx,vy
5,37.08,0.086974594,0.0202,-0.0947
4,37.08,0.089546971,-0.0695,-0.0825
1,37.08,0.093911075,-0.0202,-0.061
3,39.28,0.0,0.0313,-0.1591
1,39.28,0.025885324,0.1027,-0.2205
2,39.28,0.042950437,0.0653,-0.1839
5,39.28,0.054381247,0.044,-0.073
4,39.28,0.066903886,-0.0021,-0.1924
3,40.08,0.0,0.0348,-0.0505
1,40.08,0.01591383,0.0328,-0.0267
2,40.08,0.031075714,0.0182,-0.0067
4,40.08,0.104290987,0.0241,-0.0136
5,40.08,0.108564543,0.0035,-0.0014
3,41.92,0.0,0.0897,0.0093
4,41.92,0.044512133,0.104,-0.0536
1,41.92,0.045854117,0.1491,-0.0068
5,41.92,0.057296509,0.2136,-0.0275
2,41.92,0.074111403,0.0527,-0.0237
3,42.44,0.0,0.0471,-0.0031
4,42.44,0.049645644,0.076,0.0162
1,42.44,0.063282304,0.0603,0.039
2,42.44,0.096693019,0.0223,-0.0009
5,42.44,0.109689197,0.0837,0.0346
3,43.28,0.0,0.0793,0.0533
2,43.28,0.059762614,0.1159,0.1014
1,43.28,0.114798301,0.0646,0.1322
4,43.28,0.114813327,0.0882,0.1185
5,43.28,0.174123778,0.0452,0.1467
3,44.0,0.0,0.018,0.1026
2,44.0,0.076910988,0.029,0.1443
1,44.0,0.14034365,-0.0276,0.1361
4,44.0,0.17317982,-0.0381,0.1534
5,44.0,0.19090825,-0.0471,0.1248
3,44.68,0.0,-0.0285,0.0941
2,44.68,0.086324562,-0.0501,0.0866
1,44.68,0.149473911,-0.0968,0.0849
4,44.68,0.176294867,-0.0957,0.0594
5,44.68,0.190742234,-0.0991,0.0727
3,45.12,0.0,-0.0677,0.0453
2,45.12,0.086670929,-0.0787,0.0289
1,45.12,0.132332687,-0.0796,0.0167
4,45.12,0.154342897,-0.0828,-0.0077
5,45.12,0.159090226,-0.0842,-0.0044
3,46.32,0.0,-0.1547,-0.0054
2,46.32,0.068321153,-0.1453,-0.0421
5,46.32,0.086333539,-0.0938,-0.0505
1,46.32,0.088374261,-0.147,-0.0628
4,46.32,0.110118164,-0.1238,-0.0427
3,46.88,0.0,-0.0344,0.0026
5,46.88,0.036943741,-0.0168,-0.0462
2,46.88,0.058040417,-0.0223,-0.0136
1,46.88,0.07902816,-0.0356,-0.0256
4,46.88,0.07902816,-0.0092,-0.021
3,47.24,0.0,-0.0088,0.0002
5,47.24,0.048678537,-0.0172,-0.058
2,47.24,0.069982641,-0.0075,-0.0287
4,47.24,0.072326067,-0.0031,-0.0058
1,47.24,0.083790811,-0.0135,-0.0344
3,48.24,0.0,-0.0212,-0.0735
