Model,Fitness EA,Weighs,Bias_Mode,Cosine,MSE Kicktime,MSE_Trajectory,Sorted Velocity Criteria
distance_mse_trajectory_results_bias_negative,1.350954909645105,"(0.04669751543849639, 0.3111557297959873, 0.3082862865761243, 0.20258721060617063, 0.13103146770503557, 0.00024178987818577978)",bias_negative_None,18.69659999999999,0.5039694127132598,1.3509549107302816,distance
bearing_cosine_results_bias_wall_zone_repulsion_zone,17.336599999999986,"(0.004272267198472882, 0.3446096562485941, -0.16840357802003109, 0.26190109878616585, 0.21210557206417682, 0.008707827682559162)",bias_wall_zone_bias_wall_zone_repulsion_zone,17.336599999999986,0.9248545926557782,7.905986796304331,bearing
bearing_mse_kicktime_results_bias_wall_zone_repulsion_zone,0.5303671740105557,"(-0.025925791752509066, 0.3174728117791988, 0.21274391233740078, 0.13510873315226948, 0.3063883025263061, 0.0023604484523157567)",bias_wall_zone_bias_wall_zone_repulsion_zone,20.269399999999994,0.5303671739400859,1.448177203375491,bearing
bearing_mse_trajectory_results_bias_wall_zone_repulsion_zone,1.1224082868987566,"(0.000359859828487343, 0.24867758108744725, 0.2537246307378546, 0.24944664842929254, 0.24770928995493974, 8.198996197848753e-05)",bias_wall_zone_bias_wall_zone_repulsion_zone,20.315400000000004,0.5456493058109743,1.1224082869357628,bearing
bearing_cosine_results_bias_wall_zone_alignment_zone,18.582900000000002,"(-0.01778468548453907, 0.433444984282353, -0.01681033150102124, 0.2771821292522801, 0.24953322851448867, 0.0052446409653180434)",bias_wall_zone_bias_wall_zone_alignment_zone,18.582900000000002,0.5806721498759471,3.8732778345955245,bearing
bearing_mse_kicktime_results_bias_wall_zone_alignment_zone,0.5263929002649634,"(-0.0050037181907652255, 0.3187623441242849, 0.21822584521194946, 0.13340430304056078, 0.3170171409513964, -0.007586648481043124)",bias_wall_zone_bias_wall_zone_alignment_zone,21.820499999999996,0.5263929002606565,9.002413047437184,bearing
bearing_mse_trajectory_results_bias_wall_zone_alignment_zone,1.127648658394377,"(-0.01071375142193988, 0.24477583756735377, 0.24798987002650516, 0.24430921677229112, 0.2519358801875001, 0.00027544402440998886)",bias_wall_zone_bias_wall_zone_alignment_zone,20.3958,0.5415058103538334,1.1276486524165816,bearing
bearing_cosine_results_bias_wall_zone_alignment_domain,18.351700000000015,"(0.011802095022537946, 0.3578681702912968, -0.14384930168486088, 0.21867683418808534, 0.26725618218785113, -0.0005474166253677851)",bias_wall_zone_bias_wall_zone_alignment_domain,18.351700000000015,0.8398193590029617,16.94815343597027,bearing
bearing_mse_kicktime_results_bias_wall_zone_alignment_domain,0.5137338993093773,"(-0.0028511286981422177, 0.3383667153020321, 0.20961140602796854, 0.13069909747412192, 0.306669103403288, -0.011802549094447263)",bias_wall_zone_bias_wall_zone_alignment_domain,22.861299999999996,0.5137338993221492,18.837545240556324,bearing
bearing_mse_trajectory_results_bias_wall_zone_alignment_domain,1.131189904124024,"(-0.00032248404634150566, 0.23681620868870273, 0.2561960876430866, 0.2543526105541428, 0.25175332618420004, 0.0005592828835263619)",bias_wall_zone_bias_wall_zone_alignment_domain,20.311300000000003,0.5484286282467261,1.1311899179695961,bearing
bearing_cosine_results_bias_wall_zone_repulsion_alignment_zone,18.033000000000005,"(0.0026687153617887846, 0.35622685859126757, -0.15967631637591154, 0.2204729485008994, 0.25860973005561744, 0.0023454311145154633)",bias_wall_zone_bias_wall_zone_repulsion_alignment_zone,18.033000000000005,0.8900333947508554,12.05934691316296,bearing
bearing_mse_kicktime_results_bias_wall_zone_repulsion_alignment_zone,0.5289593143698744,"(-0.013017908950720657, 0.31404347066347527, 0.21414304882332716, 0.14198384853075421, 0.3122342599481136, -0.004577463083609043)",bias_wall_zone_bias_wall_zone_repulsion_alignment_zone,21.855400000000003,0.5289593143504622,9.47144541162053,bearing
bearing_mse_trajectory_results_bias_wall_zone_repulsion_alignment_zone,1.1983735331919882,"(0.08665828149426238, 0.23985504312497732, 0.22713979481072652, 0.20596624548760709, 0.23985504312497732, 0.0005255919574493316)",bias_wall_zone_bias_wall_zone_repulsion_alignment_zone,20.470499999999983,0.5870690328530604,1.1983735361699752,bearing
bearing_cosine_results_bias_wall_zone_repulsion_alignment_domain,18.320999999999998,"(-0.011801137922155846, 0.3110846144066292, -0.15069235259901034, 0.2520583098214727, 0.2711872771669493, 0.003176308083782601)",bias_wall_zone_bias_wall_zone_repulsion_alignment_domain,18.320999999999998,0.8879528772763849,11.970598220162868,bearing
bearing_mse_kicktime_results_bias_wall_zone_repulsion_alignment_domain,0.523006610395427,"(-0.011150822611798025, 0.3192593560941693, 0.2158386271403279, 0.134698009366514, 0.31181444181382184, -0.0072387429733689525)",bias_wall_zone_bias_wall_zone_repulsion_alignment_domain,23.252299999999995,0.5230066104458814,16.847081636823503,bearing
