Kick_Time,x,y,vx,vy,vector_x,vector_y,x_wall,y_wall,tangent_x,tangent_y,radius_x,radius_y,wall_distance
85.4,-0.0497,0.2093,-0.1935,0.0871,,,-0.05775848186176023,0.24323642361501846,-0.972945694460074,-0.23103392744704096,-0.23103392744704093,0.9729456944600738,0.03488007995538858
87.44,-0.1526,0.1662,-0.1029,-0.0431,,,-0.16908162226784149,0.18415049554990334,-0.7366019821996134,-0.6763264890713659,-0.6763264890713659,0.7366019821996134,0.02436932832613381
88.16,-0.1531,0.1655,-0.0005,-0.0007,,,-0.16976796491541649,0.18351795031679574,-0.7340718012671831,-0.679071859661666,-0.6790718596616659,0.7340718012671831,0.024545215176080132
88.64,-0.167,0.0912,-0.0139,-0.0743,,,-0.2194136122540565,0.11982348166209553,-0.4792939266483821,-0.877654449016226,-0.877654449016226,0.4792939266483821,0.059720100903957796
89.8,-0.1477,-0.133,0.0193,-0.2242,,,-0.18577974978178466,-0.1672898220783843,0.6691592883135373,-0.7431189991271387,-0.7431189991271387,-0.6691592883135373,0.05124313848322115
90.2,-0.1088,-0.161,0.0389,-0.028,,,-0.13997867636928535,-0.2071375633773432,0.8285502535093728,-0.5599147054771414,-0.5599147054771415,-0.8285502535093728,0.05568468922907799
90.92,0.0587,-0.1673,0.1675,-0.0063,,,0.08276972565989074,-0.23590076836285725,0.943603073451429,0.33107890263956297,0.3310789026395629,-0.9436030734514289,0.0727008742266336
91.76,0.2018,-0.0467,0.1431,0.1206,,,0.24356317158639876,-0.05636471810250159,0.22545887241000637,0.974252686345595,0.9742526863455951,-0.2254588724100064,0.04286687855391161
92.24,0.196,0.078,-0.0058,0.1247,,,0.23228227693858883,0.09243886531229555,-0.36975546124918224,0.9291291077543554,0.9291291077543555,0.3697554612491822,0.039049768902710114
92.84,0.1336,0.1673,-0.0624,0.0893,,,0.15600282121030953,0.19535383224913763,-0.7814153289965505,0.6240112848412381,0.6240112848412379,0.7814153289965505,0.035901307804087706
93.76,0.0947,0.2081,-0.0389,0.0408,,,0.10354958605565058,0.22754666164921736,-0.9101866465968695,0.4141983442226024,0.41419834422260254,0.9101866465968694,0.021365575645310997
94.32,0.0666,0.2175,-0.0281,0.0094,,,0.07319702488852091,0.23904433803683628,-0.9561773521473451,0.29278809955408364,0.29278809955408364,0.9561773521473451,0.02253173847765047
94.92,-0.0472,0.1905,-0.1138,-0.027,,,-0.06012424495512076,0.24266247169386662,-0.9706498867754666,-0.24049697982048307,-0.24049697982048313,0.9706498867754666,0.05373973912174679
96.16,-0.1035,0.0833,-0.0563,-0.1072,,,-0.19475740474247968,0.1567467808217252,-0.6269871232869008,-0.7790296189699187,-0.7790296189699188,0.6269871232869008,0.11714240706681459
96.8,-0.1174,0.0627,-0.0139,-0.0206,,,-0.2205206035726446,0.11777378061332894,-0.47109512245331575,-0.8820824142905784,-0.8820824142905783,0.4710951224533157,0.11690586038446321
97.84,-0.1266,0.0544,-0.0092,-0.0083,,,-0.22969230928224735,0.0986987490122769,-0.3947949960491076,-0.9187692371289894,-0.9187692371289893,0.3947949960491076,0.11220696679439851
100.12,-0.1755,0.0018,-0.0489,-0.0526,,,-0.24998685179340627,0.002563967710701603,-0.010255870842806413,-0.9999474071736252,-0.9999474071736252,0.010255870842806413,0.07449076947351174
101.04,-0.041,-0.1393,0.1345,-0.1411,,,-0.07058818519459784,-0.23982766335627995,0.95931065342512,-0.2823527407783914,-0.2823527407783914,-0.9593106534251199,0.10479156360596673
101.52,0.0734,-0.1409,0.1144,-0.0016,,,0.1155016557749985,-0.22171911851086223,0.8868764740434489,0.462006623099994,0.46200662309999396,-0.8868764740434488,0.09112781867173853
101.88,0.1326,-0.1025,0.0592,0.0384,,,0.19779500336141623,-0.15289583593171313,0.6115833437268525,0.7911800134456649,0.7911800134456649,-0.6115833437268524,0.08240223748510245
102.24,0.1823,-0.0237,0.0497,0.0788,,,0.2479137304804725,-0.0322301448841865,0.128920579536746,0.99165492192189,0.9916549219218899,-0.128920579536746,0.06616588999861861
102.72,0.1832,0.0819,0.0009,0.1056,,,0.2282314408652293,0.10203141379291639,-0.4081256551716656,0.9129257634609174,0.9129257634609173,0.4081256551716657,0.04932650897540053
103.8,0.0965,0.2089,-0.0867,0.127,,,0.1048403235195609,0.22695485578483182,-0.9078194231393273,0.4193612940782436,0.41936129407824346,0.9078194231393273,0.019888157627644037
104.4,0.0575,0.2289,-0.039,0.02,,,0.0609080315489235,0.2424669290704102,-0.9698677162816409,0.24363212619569402,0.2436321261956943,0.9698677162816408,0.013988432486880004
105.32,-0.0036,0.2406,-0.0611,0.0117,,,-0.0037402297226552628,0.24997201979746006,-0.9998880791898402,-0.014960918890621051,-0.014960918890621075,0.9998880791898402,0.009373068838918197
106.36,-0.0495,0.2174,-0.0459,-0.0232,,,-0.05550219742493314,0.24376116606425183,-0.9750446642570073,-0.22200878969973256,-0.22200878969973245,0.9750446642570073,0.027035854900389872
106.72,-0.0638,0.2155,-0.0143,-0.0019,,,-0.07096905735866677,0.2397152329277851,-0.9588609317111404,-0.28387622943466706,-0.28387622943466695,0.9588609317111404,0.02525416577831749
107.12,-0.0954,0.2058,-0.0316,-0.0097,,,-0.10514180687161678,0.2268153443834249,-0.9072613775336996,-0.42056722748646713,-0.420567227486467,0.9072613775336996,0.023163495001355644
